alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.9580838323353293,80,84,6,1,0.9748336705341536,0.012345679012345678,0.06666666666666667,64.704713
0.9,10,gaussian,variance,80,0.9454545454545454,78,84,6,3,0.8389974223307557,0.037037037037037035,0.06666666666666667,70.680224
0.9,10,gaussian,variance,100,0.912751677852349,68,90,0,13,0.9616097538828192,0.16049382716049382,0.0,66.884259
0.9,10,gaussian,scott,50,0.87248322147651,65,87,3,16,0.9171967914916906,0.19753086419753085,0.03333333333333333,66.091732
0.9,10,gaussian,scott,80,0.9433962264150944,75,87,3,6,0.9472386926936455,0.07407407407407407,0.03333333333333333,61.552915
0.9,10,gaussian,scott,100,0.8606060606060606,71,77,13,10,0.8553838751013941,0.12345679012345678,0.14444444444444443,71.500723
0.9,10,gaussian,silverman,50,0.9433962264150944,75,87,3,6,0.9401301032896008,0.07407407407407407,0.03333333333333333,62.315504
0.9,10,gaussian,silverman,80,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,62.997664
0.9,10,gaussian,silverman,100,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,63.559936
0.9,10,cosine,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.915966
0.9,10,cosine,variance,80,0.875,63,90,0,18,0.9460020768431985,0.2222222222222222,0.0,71.768075
0.9,10,cosine,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,76.158123
0.9,10,cosine,scott,50,0.7943262411347518,56,86,4,25,0.8974068653234325,0.30864197530864196,0.044444444444444446,71.759107
0.9,10,cosine,scott,80,0.8663101604278075,81,65,25,0,0.9191148731367202,0.0,0.2777777777777778,71.611601
0.9,10,cosine,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,72.367888
0.9,10,cosine,silverman,50,0.7943262411347518,56,86,4,25,0.9005926456118027,0.30864197530864196,0.044444444444444446,72.257562
0.9,10,cosine,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,71.708122
0.9,10,cosine,silverman,100,0.9152542372881356,81,75,15,0,0.954653575989783,0.0,0.16666666666666666,73.249591
0.9,10,epanechnikov,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,69.864716
0.9,10,epanechnikov,variance,80,0.8904109589041096,65,90,0,16,0.952001846082843,0.19753086419753085,0.0,70.732313
0.9,10,epanechnikov,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,73.667955
0.9,10,epanechnikov,scott,50,0.8888888888888888,68,86,4,13,0.9255931920098813,0.16049382716049382,0.044444444444444446,69.477029
0.9,10,epanechnikov,scott,80,0.8205128205128205,64,79,11,17,0.9080137797730391,0.20987654320987653,0.12222222222222222,71.02936
0.9,10,epanechnikov,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,71.577407
0.9,10,epanechnikov,silverman,50,0.7943262411347518,56,86,4,25,0.9005926456118025,0.30864197530864196,0.044444444444444446,71.532511
0.9,10,epanechnikov,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,73.391739
0.9,10,epanechnikov,silverman,100,0.9152542372881356,81,75,15,0,0.9550792890591742,0.0,0.16666666666666666,71.879242
0.95,10,gaussian,variance,50,0.9580838323353293,80,84,6,1,0.9748336705341536,0.012345679012345678,0.06666666666666667,64.184386
0.95,10,gaussian,variance,80,0.9454545454545454,78,84,6,3,0.8389974223307557,0.037037037037037035,0.06666666666666667,70.441769
0.95,10,gaussian,variance,100,0.912751677852349,68,90,0,13,0.9616097538828192,0.16049382716049382,0.0,67.171305
0.95,10,gaussian,scott,50,0.87248322147651,65,87,3,16,0.9171967914916906,0.19753086419753085,0.03333333333333333,65.661518
0.95,10,gaussian,scott,80,0.9433962264150944,75,87,3,6,0.9472386926936455,0.07407407407407407,0.03333333333333333,62.935437
0.95,10,gaussian,scott,100,0.8606060606060606,71,77,13,10,0.8553838751013941,0.12345679012345678,0.14444444444444443,65.964624
0.95,10,gaussian,silverman,50,0.9433962264150944,75,87,3,6,0.9401301032896008,0.07407407407407407,0.03333333333333333,65.205743
0.95,10,gaussian,silverman,80,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,64.024477
0.95,10,gaussian,silverman,100,0.9176470588235294,78,79,11,3,0.9163198695265187,0.037037037037037035,0.12222222222222222,62.658789
0.95,10,cosine,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,70.600847
0.95,10,cosine,variance,80,0.875,63,90,0,18,0.9460020768431985,0.2222222222222222,0.0,71.972246
0.95,10,cosine,variance,100,0.8591549295774648,61,90,0,20,0.9453941120607787,0.24691358024691357,0.0,75.737336
0.95,10,cosine,scott,50,0.75,51,86,4,30,0.8764066437022411,0.37037037037037035,0.044444444444444446,73.39826
0.95,10,cosine,scott,80,0.8663101604278075,81,65,25,0,0.9191148731367202,0.0,0.2777777777777778,72.148686
0.95,10,cosine,scott,100,0.8756756756756757,81,67,23,0,0.9243284675632346,0.0,0.25555555555555554,73.362012
0.95,10,cosine,silverman,50,0.7943262411347518,56,86,4,25,0.9005926456118027,0.30864197530864196,0.044444444444444446,72.532056
0.95,10,cosine,silverman,80,0.8804347826086957,81,68,22,0,0.9281968320474957,0.0,0.24444444444444444,72.469948
0.95,10,cosine,silverman,100,0.9152542372881356,81,75,15,0,0.954653575989783,0.0,0.16666666666666666,71.871078
0.95,10,epanechnikov,variance,50,0.8428571428571429,59,90,0,22,0.9283950617283951,0.2716049382716049,0.0,69.886066
0.95,10,epanechnikov,variance,80,0.8904109589041096,65,90,0,16,0.952001846082843,0.19753086419753085,0.0,70.629408
