alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.6031073446327684,427,471,259,303,0.44338867640776514,0.41506849315068495,0.3547945205479452,555.035643
0.9,10,gaussian,variance,80,0.6080332409972299,439,455,275,291,0.43903568139524024,0.39863013698630134,0.3767123287671233,687.174355
0.9,10,gaussian,variance,100,0.5925925925925926,424,453,277,306,0.4492834544535847,0.4191780821917808,0.37945205479452054,591.998218
0.9,10,gaussian,scott,50,0.5979228486646885,403,515,215,327,0.41685290761028376,0.44794520547945205,0.2945205479452055,543.297673
0.9,10,gaussian,scott,80,0.5933429811866859,410,488,242,320,0.4411237563217988,0.4383561643835616,0.3315068493150685,574.770664
0.9,10,gaussian,scott,100,0.5862313697657914,413,464,266,317,0.4111805625779049,0.43424657534246575,0.3643835616438356,592.907477
0.9,10,gaussian,silverman,50,0.5922619047619048,398,514,216,332,0.45207444857294815,0.4547945205479452,0.2958904109589041,560.826312
0.9,10,gaussian,silverman,80,0.6212121212121212,451,459,271,279,0.4363689263390505,0.3821917808219178,0.37123287671232874,559.418796
0.9,10,gaussian,silverman,100,0.6082690960056062,434,467,263,296,0.4755066373602748,0.4054794520547945,0.36027397260273974,569.46686
0.9,10,cosine,variance,50,0.6078167115902965,451,427,303,279,0.4550120217008668,0.3821917808219178,0.41506849315068495,627.157552
0.9,10,cosine,variance,80,0.5513673318551368,373,480,250,357,0.4405113828632726,0.48904109589041095,0.3424657534246575,661.330561
0.9,10,cosine,variance,100,0.5422427035330261,353,511,219,377,0.4309847664417662,0.5164383561643836,0.3,678.157711
0.9,10,cosine,scott,50,0.5864332603938731,402,491,239,328,0.4604645959131028,0.44931506849315067,0.3273972602739726,617.544507
0.9,10,cosine,scott,80,0.5835095137420718,414,455,275,316,0.44404133982919136,0.4328767123287671,0.3767123287671233,644.859912
0.9,10,cosine,scott,100,0.5821205821205822,420,437,293,310,0.45714925565713727,0.4246575342465753,0.40136986301369865,665.570573
0.9,10,cosine,silverman,50,0.6047819971870605,430,468,262,300,0.4815870892273326,0.410958904109589,0.3589041095890411,614.062891
