alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.5623100303951368,370,514,216,360,0.4698491601797432,0.4931506849315068,0.2958904109589041,571.11996
0.9,10,gaussian,variance,80,0.581294964028777,404,474,256,326,0.43178643303864406,0.4465753424657534,0.3506849315068493,566.900724
0.9,10,gaussian,variance,100,0.5973295853829936,425,462,268,305,0.4435038601718299,0.4178082191780822,0.36712328767123287,601.850187
0.9,10,gaussian,scott,50,0.5856515373352855,400,494,236,330,0.47724713972530663,0.4520547945205479,0.3232876712328767,561.822957
0.9,10,gaussian,scott,80,0.5922038980509745,395,521,209,335,0.4627899062728788,0.4589041095890411,0.2863013698630137,573.720764
0.9,10,gaussian,scott,100,0.603264726756565,425,476,254,305,0.47561579819803856,0.4178082191780822,0.34794520547945207,583.652901
0.9,10,gaussian,silverman,50,0.5685670261941448,369,531,199,361,0.4654724158348171,0.4945205479452055,0.2726027397260274,607.64115
0.9,10,gaussian,silverman,80,0.5969498910675382,411,494,236,319,0.44865932389614216,0.436986301369863,0.3232876712328767,651.042182
0.9,10,gaussian,silverman,100,0.5748683220466516,382,513,217,348,0.4678308444955023,0.4767123287671233,0.29726027397260274,650.742831
0.9,10,cosine,variance,50,0.5537998495109104,368,499,231,362,0.4824978305852902,0.4958904109589041,0.31643835616438354,679.337003
0.9,10,cosine,variance,80,0.5718329794762915,404,451,279,326,0.42178603821811556,0.4465753424657534,0.3821917808219178,700.990235
0.9,10,cosine,variance,100,0.5426008968609866,363,485,245,367,0.46240946725194965,0.5027397260273972,0.3356164383561644,706.985797
0.9,10,cosine,scott,50,0.5484375,351,531,199,379,0.4363176499710345,0.5191780821917809,0.2726027397260274,656.960412
0.9,10,cosine,scott,80,0.5352564102564102,334,546,184,396,0.4424684266251926,0.5424657534246575,0.25205479452054796,644.85566
0.9,10,cosine,scott,100,0.546448087431694,350,529,201,380,0.4558166513444814,0.5205479452054794,0.27534246575342464,628.680913
0.9,10,cosine,silverman,50,0.5686125852918877,375,516,214,355,0.4390576729038172,0.4863013698630137,0.29315068493150687,561.139897
0.9,10,cosine,silverman,80,0.5546218487394958,363,514,216,367,0.4489171561399252,0.5027397260273972,0.2958904109589041,574.764222
0.9,10,cosine,silverman,100,0.5777450257921887,392,495,235,338,0.42006109411517367,0.46301369863013697,0.3219178082191781,581.620133
0.9,10,epanechnikov,variance,50,0.5557251908396946,364,514,216,366,0.4701482124888091,0.5013698630136987,0.2958904109589041,587.568181
0.9,10,epanechnikov,variance,80,0.5571847507331378,380,476,254,350,0.433612967234442,0.4794520547945205,0.34794520547945207,585.670693
0.9,10,epanechnikov,variance,100,0.5318181818181819,351,491,239,379,0.4684571313437512,0.5191780821917809,0.3273972602739726,644.177785
0.9,10,epanechnikov,scott,50,0.5779748706577975,391,498,232,339,0.46700890657509925,0.4643835616438356,0.3178082191780822,565.327013
0.9,10,epanechnikov,scott,80,0.5455974842767296,347,535,195,383,0.4429640914013565,0.5246575342465754,0.2671232876712329,562.97246
0.9,10,epanechnikov,scott,100,0.5474006116207951,358,510,220,372,0.44143180723029135,0.5095890410958904,0.3013698630136986,575.772913
0.9,10,epanechnikov,silverman,50,0.5531914893617021,351,542,188,379,0.4479242089807558,0.5191780821917809,0.25753424657534246,574.909775
0.9,10,epanechnikov,silverman,80,0.6110344827586207,443,453,277,287,0.5067758562170729,0.39315068493150684,0.37945205479452054,585.969206
0.9,10,epanechnikov,silverman,100,0.5480093676814989,351,530,200,379,0.43481125829416106,0.5191780821917809,0.273972602739726,586.303981
0.95,10,gaussian,variance,50,0.5714285714285714,382,505,225,348,0.4695560712189308,0.4767123287671233,0.3082191780821918,575.223672
0.95,10,gaussian,variance,80,0.5827338129496403,405,475,255,325,0.4280445317466044,0.4452054794520548,0.3493150684931507,570.464089
0.95,10,gaussian,variance,100,0.5919661733615222,420,461,269,310,0.4474984912713877,0.4246575342465753,0.3684931506849315,575.378173
0.95,10,gaussian,scott,50,0.5856515373352855,400,494,236,330,0.47724713972530663,0.4520547945205479,0.3232876712328767,537.158094
0.95,10,gaussian,scott,80,0.5917602996254682,395,520,210,335,0.4573140516857976,0.4589041095890411,0.2876712328767123,559.820888
0.95,10,gaussian,scott,100,0.5953420669577875,409,495,235,321,0.4769250461547063,0.4397260273972603,0.3219178082191781,553.998544
0.95,10,gaussian,silverman,50,0.6075036075036075,421,495,235,309,0.4572354061949501,0.4232876712328767,0.3219178082191781,541.07638
0.95,10,gaussian,silverman,80,0.5981308411214953,416,485,245,314,0.45233827521728354,0.4301369863013699,0.3356164383561644,557.300544
0.95,10,gaussian,silverman,100,0.5794117647058824,394,494,236,336,0.4752936609270265,0.4602739726027397,0.3232876712328767,556.118848
0.95,10,cosine,variance,50,0.5574499629355077,376,487,243,354,0.4790039637751192,0.4849315068493151,0.33287671232876714,594.26744
0.95,10,cosine,variance,80,0.5718329794762915,404,451,279,326,0.42178603821811556,0.4465753424657534,0.3821917808219178,606.154494
0.95,10,cosine,variance,100,0.5426008968609866,363,485,245,367,0.46240946725194965,0.5027397260273972,0.3356164383561644,628.967699
0.95,10,cosine,scott,50,0.5632096896290689,372,511,219,358,0.4297992999322897,0.4904109589041096,0.3,572.191072
0.95,10,cosine,scott,80,0.5318291700241741,330,549,181,400,0.4321587304607599,0.547945205479452,0.24794520547945206,580.144363
0.95,10,cosine,scott,100,0.546448087431694,350,529,201,380,0.4558166513444814,0.5205479452054794,0.27534246575342464,597.808381
0.95,10,cosine,silverman,50,0.5830311820159536,402,483,247,328,0.4787773389918659,0.44931506849315067,0.33835616438356164,580.075003
0.95,10,cosine,silverman,80,0.5569044006069803,367,509,221,363,0.44554865053034765,0.49726027397260275,0.30273972602739724,586.200745
0.95,10,cosine,silverman,100,0.5594512195121951,367,515,215,363,0.4355320727034518,0.49726027397260275,0.2945205479452055,605.005381
0.95,10,epanechnikov,variance,50,0.5537757437070938,363,512,218,367,0.46719460073562763,0.5027397260273972,0.29863013698630136,657.234579
0.95,10,epanechnikov,variance,80,0.5571847507331378,380,476,254,350,0.433612967234442,0.4794520547945205,0.34794520547945207,743.180221
0.95,10,epanechnikov,variance,100,0.5468277945619335,362,498,232,368,0.47120722969582773,0.5041095890410959,0.3178082191780822,637.003014
0.95,10,epanechnikov,scott,50,0.5863095238095238,394,510,220,336,0.44326048365248183,0.4602739726027397,0.3013698630136986,582.65515
0.95,10,epanechnikov,scott,80,0.5353697749196141,333,549,181,397,0.4296874102885617,0.5438356164383562,0.24794520547945206,571.925099
0.95,10,epanechnikov,scott,100,0.5469824293353706,358,509,221,372,0.43928767251349454,0.5095890410958904,0.30273972602739724,569.515402
0.95,10,epanechnikov,silverman,50,0.5686274509803921,377,511,219,353,0.4404460467296462,0.48356164383561645,0.3,586.151203
0.95,10,epanechnikov,silverman,80,0.605427974947808,435,458,272,295,0.46226576794091645,0.4041095890410959,0.3726027397260274,597.644445
0.95,10,epanechnikov,silverman,100,0.5435978004713276,346,533,197,384,0.44850698847518417,0.5260273972602739,0.26986301369863014,593.613914
0.99,10,gaussian,variance,50,0.5741839762611276,387,499,231,343,0.49564747737182724,0.46986301369863015,0.31643835616438354,605.64667
0.99,10,gaussian,variance,80,0.5607755406413124,376,495,235,354,0.425855999601808,0.4849315068493151,0.3219178082191781,585.010579
0.99,10,gaussian,variance,100,0.5761973875181422,397,479,251,333,0.4417750389217674,0.45616438356164385,0.34383561643835614,578.722121
0.99,10,gaussian,scott,50,0.59644128113879,419,474,256,311,0.48141080650186296,0.426027397260274,0.3506849315068493,564.307824
0.99,10,gaussian,scott,80,0.5686274509803921,377,511,219,353,0.43638387594348466,0.48356164383561645,0.3,568.399764
0.99,10,gaussian,scott,100,0.5863095238095238,394,510,220,336,0.4765377220866875,0.4602739726027397,0.3013698630136986,557.314355
0.99,10,gaussian,silverman,50,0.603448275862069,420,488,242,310,0.467968922004221,0.4246575342465753,0.3315068493150685,546.024633
0.99,10,gaussian,silverman,80,0.563165905631659,370,516,214,360,0.42220749194285223,0.4931506849315068,0.29315068493150687,557.168141
0.99,10,gaussian,silverman,100,0.5845932325413967,406,477,253,324,0.473223954682929,0.4438356164383562,0.34657534246575344,597.886615
0.99,10,cosine,variance,50,0.5574499629355077,376,487,243,354,0.4790039637751192,0.4849315068493151,0.33287671232876714,589.272217
0.99,10,cosine,variance,80,0.5602322206095791,386,468,262,344,0.4813476597949007,0.4712328767123288,0.3589041095890411,613.391416
0.99,10,cosine,variance,100,0.5443425076452599,356,508,222,374,0.4251750565321772,0.5123287671232877,0.3041095890410959,666.157121
0.99,10,cosine,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,771.015054
0.99,10,cosine,scott,80,0.5430149960536701,344,537,193,386,0.42638734073604284,0.5287671232876713,0.26438356164383564,645.208077
0.99,10,cosine,scott,100,0.5451713395638629,350,526,204,380,0.45151876080449466,0.5205479452054794,0.27945205479452057,668.98574
0.99,10,cosine,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,794.882759
0.99,10,cosine,silverman,80,0.554290053151101,365,508,222,365,0.4538878429353942,0.5,0.3041095890410959,786.630785
0.99,10,cosine,silverman,100,0.554531490015361,361,519,211,369,0.4492443249560193,0.5054794520547945,0.28904109589041094,671.103626
0.99,10,epanechnikov,variance,50,0.5537757437070938,363,512,218,367,0.46719460073562763,0.5027397260273972,0.29863013698630136,670.34066
0.99,10,epanechnikov,variance,80,0.5553914327917282,376,482,248,354,0.4411538725469569,0.4849315068493151,0.33972602739726027,608.204258
0.99,10,epanechnikov,variance,100,0.5468277945619335,362,498,232,368,0.47120722969582773,0.5041095890410959,0.3178082191780822,618.066578
0.99,10,epanechnikov,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,667.037738
0.99,10,epanechnikov,scott,80,0.5544401544401545,359,524,206,371,0.4213456389183857,0.5082191780821917,0.2821917808219178,588.595461
0.99,10,epanechnikov,scott,100,0.5418950665622553,346,529,201,384,0.44157959592298995,0.5260273972602739,0.27534246575342464,594.703368
0.99,10,epanechnikov,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,672.226808
0.99,10,epanechnikov,silverman,80,0.6,420,480,250,310,0.4359170314945146,0.4246575342465753,0.3424657534246575,586.578502
0.99,10,epanechnikov,silverman,100,0.5499612703330752,355,524,206,375,0.44964811105560315,0.5136986301369864,0.2821917808219178,598.045139
0.9,11,gaussian,variance,50,0.603905160390516,433,459,271,297,0.5196706508297876,0.40684931506849314,0.37123287671232874,536.190174
0.9,11,gaussian,variance,80,0.6209286209286209,448,465,265,282,0.5103861594567969,0.3863013698630137,0.363013698630137,556.414472
0.9,11,gaussian,variance,100,0.5772418990203466,383,516,214,347,0.4993551634613753,0.47534246575342465,0.29315068493150687,567.273272
0.9,11,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,677.284447
0.9,11,gaussian,scott,80,0.5875457875457876,401,496,234,329,0.4992999548593774,0.4506849315068493,0.32054794520547947,546.255901
0.9,11,gaussian,scott,100,0.5853658536585366,396,503,227,334,0.46300773939848716,0.4575342465753425,0.31095890410958904,546.733927
0.9,11,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,672.042132
0.9,11,gaussian,silverman,80,0.5688888888888889,384,494,236,346,0.48372799449422715,0.473972602739726,0.3232876712328767,543.579474
0.9,11,gaussian,silverman,100,0.5922684172137126,406,495,235,324,0.4904795151132605,0.4438356164383562,0.3219178082191781,545.50337
0.9,11,cosine,variance,50,0.5425531914893617,357,501,229,373,0.47899710543546503,0.510958904109589,0.3136986301369863,580.036103
0.9,11,cosine,variance,80,0.5503048780487805,361,509,221,369,0.5062827923016332,0.5054794520547945,0.30273972602739724,602.798389
0.9,11,cosine,variance,100,0.5714285714285714,396,470,260,334,0.5048020755816606,0.4575342465753425,0.3561643835616438,595.090095
0.9,11,cosine,scott,50,0.5825105782792666,413,455,275,317,0.43350729933779836,0.43424657534246575,0.3767123287671233,577.989263
0.9,11,cosine,scott,80,0.5844346549192364,398,496,234,332,0.48991850112350277,0.4547945205479452,0.32054794520547947,573.576442
0.9,11,cosine,scott,100,0.584319526627219,395,503,227,335,0.48356985334446534,0.4589041095890411,0.31095890410958904,574.895394
0.9,11,cosine,silverman,50,0.5732851985559567,397,472,258,333,0.41343856494616005,0.45616438356164385,0.35342465753424657,587.962676
0.9,11,cosine,silverman,80,0.5966101694915255,440,425,305,290,0.5276106350030005,0.3972602739726027,0.4178082191780822,594.92695
0.9,11,cosine,silverman,100,0.5763939174511223,398,477,253,332,0.5263088846006485,0.4547945205479452,0.34657534246575344,600.402111
0.9,11,epanechnikov,variance,50,0.6178217821782178,468,413,317,262,0.4255808567056041,0.3589041095890411,0.43424657534246575,566.18578
0.9,11,epanechnikov,variance,80,0.5440494590417311,352,518,212,378,0.5100617306201887,0.5178082191780822,0.29041095890410956,584.562233
0.9,11,epanechnikov,variance,100,0.5385779122541604,356,494,236,374,0.49642377780085334,0.5123287671232877,0.3232876712328767,624.133666
0.9,11,epanechnikov,scott,50,0.5685714285714286,398,458,272,332,0.4640306500259074,0.4547945205479452,0.3726027397260274,635.197767
0.9,11,epanechnikov,scott,80,0.5816326530612245,399,487,243,331,0.4946131365099603,0.4534246575342466,0.33287671232876714,587.997888
0.9,11,epanechnikov,scott,100,0.5879765395894428,401,497,233,329,0.48459683741419496,0.4506849315068493,0.31917808219178084,597.121283
0.9,11,epanechnikov,silverman,50,0.5672937771345875,392,470,260,338,0.4180087549624829,0.46301369863013697,0.3561643835616438,606.920758
0.9,11,epanechnikov,silverman,80,0.6013513513513513,445,425,305,285,0.5064520194081443,0.3904109589041096,0.4178082191780822,610.291625
0.9,11,epanechnikov,silverman,100,0.5737109658678287,395,478,252,335,0.5243724892401398,0.4589041095890411,0.3452054794520548,608.857287
0.95,11,gaussian,variance,50,0.6059763724808895,436,457,273,294,0.5180397398887787,0.40273972602739727,0.37397260273972605,572.932774
0.95,11,gaussian,variance,80,0.626193724420191,459,453,277,271,0.5100084204254873,0.37123287671232874,0.37945205479452054,585.704903
0.95,11,gaussian,variance,100,0.580789277736411,390,507,223,340,0.501925403739832,0.4657534246575342,0.30547945205479454,601.911269
0.95,11,gaussian,scott,50,0.0,0,730,0,730,0.4,1.0,0.0,692.696636
0.95,11,gaussian,scott,80,0.0,0,730,0,730,0.4,1.0,0.0,694.9649
0.95,11,gaussian,scott,100,0.5793000744601638,389,506,224,341,0.46854584182925496,0.4671232876712329,0.30684931506849317,573.406322
0.95,11,gaussian,silverman,50,0.0,0,730,0,730,0.4,1.0,0.0,689.559196
0.95,11,gaussian,silverman,80,0.5661492978566149,383,490,240,347,0.4747325781104469,0.47534246575342465,0.3287671232876712,559.301155
0.95,11,gaussian,silverman,100,0.5810711665443874,396,493,237,334,0.4563412052199328,0.4575342465753425,0.32465753424657534,562.53677
0.95,11,cosine,variance,50,0.5990404386566142,437,438,292,293,0.43276015320661143,0.40136986301369865,0.4,585.172846
0.95,11,cosine,variance,80,0.5520912547528517,363,508,222,367,0.507393176792266,0.5027397260273972,0.3041095890410959,614.563781
0.95,11,cosine,variance,100,0.5441967717140661,354,513,217,376,0.5249389066762635,0.5150684931506849,0.29726027397260274,613.818604
0.95,11,cosine,scott,50,0.5834502103786816,416,450,280,314,0.43427528759005085,0.4301369863013699,0.3835616438356164,578.102453
