alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.9285714285714286,78,80,10,2,0.9561473071683467,0.025,0.1111111111111111,65.329505
0.9,10,gaussian,variance,80,0.8757396449704142,74,75,15,6,0.8770830516114492,0.075,0.16666666666666666,66.851194
0.9,10,gaussian,variance,100,0.9161290322580645,71,86,4,9,0.9712337344028519,0.1125,0.044444444444444446,65.55166
0.9,10,gaussian,scott,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,73.896911
0.9,10,gaussian,scott,80,0.8194444444444444,59,85,5,21,0.9307196414273671,0.2625,0.05555555555555555,62.194208
0.9,10,gaussian,scott,100,0.8590604026845637,64,85,5,16,0.9358350885571406,0.2,0.05555555555555555,63.74289
0.9,10,gaussian,silverman,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,72.864346
0.9,10,gaussian,silverman,80,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,65.326037
0.9,10,gaussian,silverman,100,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,64.231476
0.9,10,cosine,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105263,0.0,0.16666666666666666,79.703755
0.9,10,cosine,variance,80,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,72.172825
0.9,10,cosine,variance,100,0.9142857142857143,80,75,15,0,0.9585526315789473,0.0,0.16666666666666666,75.425866
0.9,10,cosine,scott,50,0.9202453987730062,75,82,8,5,0.8317688543308991,0.0625,0.08888888888888889,65.465218
0.9,10,cosine,scott,80,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,69.893869
0.9,10,cosine,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,89.335367
0.9,10,cosine,silverman,50,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,69.347764
0.9,10,cosine,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,68.649086
0.9,10,cosine,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,70.802612
0.9,10,epanechnikov,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105263,0.0,0.16666666666666666,69.437093
0.9,10,epanechnikov,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,70.398294
0.9,10,epanechnikov,variance,100,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,69.755298
0.9,10,epanechnikov,scott,50,0.9375,75,85,5,5,0.8620224804025398,0.0625,0.05555555555555555,65.58914
0.9,10,epanechnikov,scott,80,0.8780487804878049,72,78,12,8,0.83111325321792,0.1,0.13333333333333333,68.172733
0.9,10,epanechnikov,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,83.344217
0.9,10,epanechnikov,silverman,50,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,69.290919
0.9,10,epanechnikov,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,69.273496
0.9,10,epanechnikov,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,68.675887
0.95,10,gaussian,variance,50,0.9285714285714286,78,80,10,2,0.9561473071683467,0.025,0.1111111111111111,61.738843
0.95,10,gaussian,variance,80,0.8757396449704142,74,75,15,6,0.8687497182781158,0.075,0.16666666666666666,67.388554
0.95,10,gaussian,variance,100,0.8757396449704142,74,75,15,6,0.8770830516114492,0.075,0.16666666666666666,66.895369
0.95,10,gaussian,scott,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,72.120392
0.95,10,gaussian,scott,80,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,76.339244
0.95,10,gaussian,scott,100,0.8375,67,77,13,13,0.9095771405062343,0.1625,0.14444444444444443,77.807015
0.95,10,gaussian,silverman,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,74.394795
0.95,10,gaussian,silverman,80,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,64.857879
0.95,10,gaussian,silverman,100,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,64.638618
0.95,10,cosine,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105263,0.0,0.16666666666666666,70.452456
0.95,10,cosine,variance,80,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,71.548279
0.95,10,cosine,variance,100,0.9142857142857143,80,75,15,0,0.9585526315789473,0.0,0.16666666666666666,71.771638
0.95,10,cosine,scott,50,0.9290322580645162,72,87,3,8,0.9061042924944669,0.1,0.03333333333333333,66.276769
0.95,10,cosine,scott,80,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,70.084345
0.95,10,cosine,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,71.496512
0.95,10,cosine,silverman,50,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,71.376467
0.95,10,cosine,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,70.156321
0.95,10,cosine,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,68.981999
0.95,10,epanechnikov,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105263,0.0,0.16666666666666666,68.905015
0.95,10,epanechnikov,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,71.793247
0.95,10,epanechnikov,variance,100,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,70.1663
0.95,10,epanechnikov,scott,50,0.9290322580645162,72,87,3,8,0.9061042924944669,0.1,0.03333333333333333,66.50098
0.95,10,epanechnikov,scott,80,0.8780487804878049,72,78,12,8,0.83111325321792,0.1,0.13333333333333333,70.006119
0.95,10,epanechnikov,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,69.701832
0.95,10,epanechnikov,silverman,50,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,68.084683
0.95,10,epanechnikov,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,69.091359
0.95,10,epanechnikov,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,68.992114
0.99,10,gaussian,variance,50,0.9285714285714286,78,80,10,2,0.9561473071683467,0.025,0.1111111111111111,62.01795
0.99,10,gaussian,variance,80,0.8757396449704142,74,75,15,6,0.8687497182781158,0.075,0.16666666666666666,66.566437
0.99,10,gaussian,variance,100,0.8757396449704142,74,75,15,6,0.8687497182781158,0.075,0.16666666666666666,66.17915
0.99,10,gaussian,scott,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,72.066236
0.99,10,gaussian,scott,80,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,73.670181
0.99,10,gaussian,scott,100,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,73.220608
0.99,10,gaussian,silverman,50,0.8571428571428571,60,90,0,20,0.8676470588235294,0.25,0.0,71.864878
0.99,10,gaussian,silverman,80,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,63.444345
0.99,10,gaussian,silverman,100,0.8163265306122449,60,83,7,20,0.8922873205216585,0.25,0.07777777777777778,63.979939
0.99,10,cosine,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105265,0.0,0.16666666666666666,70.3834
0.99,10,cosine,variance,80,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,71.637242
0.99,10,cosine,variance,100,0.9142857142857143,80,75,15,0,0.9585526315789473,0.0,0.16666666666666666,72.005476
0.99,10,cosine,scott,50,0.9290322580645162,72,87,3,8,0.9061042924944669,0.1,0.03333333333333333,66.204667
0.99,10,cosine,scott,80,0.8780487804878049,72,78,12,8,0.828990611708486,0.1,0.13333333333333333,70.045227
0.99,10,cosine,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,70.630934
0.99,10,cosine,silverman,50,0.8641975308641975,70,78,12,10,0.821185857667569,0.125,0.13333333333333333,69.928739
0.99,10,cosine,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,71.320287
0.99,10,cosine,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,70.843332
0.99,10,epanechnikov,variance,50,0.9142857142857143,80,75,15,0,0.9644736842105265,0.0,0.16666666666666666,69.800939
0.99,10,epanechnikov,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,71.097278
0.99,10,epanechnikov,variance,100,0.9142857142857143,80,75,15,0,0.9605263157894737,0.0,0.16666666666666666,70.189679
0.99,10,epanechnikov,scott,50,0.9290322580645162,72,87,3,8,0.9061042924944669,0.1,0.03333333333333333,77.065084
0.99,10,epanechnikov,scott,80,0.8780487804878049,72,78,12,8,0.83111325321792,0.1,0.13333333333333333,70.533922
0.99,10,epanechnikov,scott,100,0.8834355828220859,72,79,11,8,0.8693694646021652,0.1,0.12222222222222222,70.057149
0.99,10,epanechnikov,silverman,50,0.8641975308641975,70,78,12,10,0.821185857667569,0.125,0.13333333333333333,69.410717
0.99,10,epanechnikov,silverman,80,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,69.419323
0.99,10,epanechnikov,silverman,100,0.8834355828220859,72,79,11,8,0.867674549347928,0.1,0.12222222222222222,69.295041
0.9,11,gaussian,variance,50,0.9440993788819876,76,85,5,4,0.9469652064529516,0.05,0.05555555555555555,60.297026
0.9,11,gaussian,variance,80,0.9090909090909091,70,86,4,10,0.9210350083777503,0.125,0.044444444444444446,63.6501
0.9,11,gaussian,variance,100,0.8758169934640523,67,84,6,13,0.9088363487326574,0.1625,0.06666666666666667,62.523479
0.9,11,gaussian,scott,50,0.8648648648648649,64,86,4,16,0.886469798715362,0.2,0.044444444444444446,65.148608
0.9,11,gaussian,scott,80,0.935064935064935,72,88,2,8,0.9235103121108087,0.1,0.022222222222222223,62.34807
0.9,11,gaussian,scott,100,0.935064935064935,72,88,2,8,0.9218691882565171,0.1,0.022222222222222223,65.375605
0.9,11,gaussian,silverman,50,0.935064935064935,72,88,2,8,0.9235103121108087,0.1,0.022222222222222223,62.715909
0.9,11,gaussian,silverman,80,0.935064935064935,72,88,2,8,0.9218691882565171,0.1,0.022222222222222223,64.651999
0.9,11,gaussian,silverman,100,0.9433962264150944,75,86,4,5,0.9441550076339382,0.0625,0.044444444444444446,64.499072
0.9,11,cosine,variance,50,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,71.190484
0.9,11,cosine,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,72.136886
0.9,11,cosine,variance,100,0.9041095890410958,66,90,0,14,0.9708333333333333,0.175,0.0,72.396805
0.9,11,cosine,scott,50,0.8839779005524862,80,69,21,0,0.8433891233644236,0.0,0.23333333333333334,69.765052
0.9,11,cosine,scott,80,0.8977272727272727,79,73,17,1,0.8320654016692748,0.0125,0.18888888888888888,71.14624
0.9,11,cosine,scott,100,0.8321167883211679,57,90,0,23,0.8050479250598995,0.2875,0.0,68.021916
0.9,11,cosine,silverman,50,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,64.737587
0.9,11,cosine,silverman,80,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,66.073693
0.9,11,cosine,silverman,100,0.8611111111111112,62,88,2,18,0.888251923760659,0.225,0.022222222222222223,68.042373
0.9,11,epanechnikov,variance,50,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,70.555013
0.9,11,epanechnikov,variance,80,0.9041095890410958,66,90,0,14,0.9708333333333332,0.175,0.0,70.433916
0.9,11,epanechnikov,variance,100,0.9041095890410958,66,90,0,14,0.9708333333333333,0.175,0.0,71.431896
0.9,11,epanechnikov,scott,50,0.8839779005524862,80,69,21,0,0.8433891233644236,0.0,0.23333333333333334,68.222421
0.9,11,epanechnikov,scott,80,0.8977272727272727,79,73,17,1,0.8320654016692748,0.0125,0.18888888888888888,69.104603
0.9,11,epanechnikov,scott,100,0.8918918918918919,66,88,2,14,0.8747649720127767,0.175,0.022222222222222223,67.476022
0.9,11,epanechnikov,silverman,50,0.8780487804878049,72,78,12,8,0.8651989238510482,0.1,0.13333333333333333,67.546603
0.9,11,epanechnikov,silverman,80,0.8903225806451613,69,84,6,11,0.9289470275761494,0.1375,0.06666666666666667,65.251131
0.9,11,epanechnikov,silverman,100,0.8609271523178808,65,84,6,15,0.9169310099430568,0.1875,0.06666666666666667,65.3412
0.95,11,gaussian,variance,50,0.9440993788819876,76,85,5,4,0.9469652064529516,0.05,0.05555555555555555,60.263664
0.95,11,gaussian,variance,80,0.9090909090909091,70,86,4,10,0.9210350083777503,0.125,0.044444444444444446,74.350777
0.95,11,gaussian,variance,100,0.8947368421052632,68,86,4,12,0.9306653884048237,0.15,0.044444444444444446,62.660907
0.95,11,gaussian,scott,50,0.8493150684931506,62,86,4,18,0.8800556042329926,0.225,0.044444444444444446,65.747952
0.95,11,gaussian,scott,80,0.935064935064935,72,88,2,8,0.9235103121108087,0.1,0.022222222222222223,63.016934
0.95,11,gaussian,scott,100,0.935064935064935,72,88,2,8,0.9218691882565171,0.1,0.022222222222222223,63.707539
0.95,11,gaussian,silverman,50,0.935064935064935,72,88,2,8,0.9235103121108087,0.1,0.022222222222222223,64.171727
0.95,11,gaussian,silverman,80,0.935064935064935,72,88,2,8,0.9218691882565171,0.1,0.022222222222222223,63.548451
