alpha,ws,kernel,bandwidth,gridsize,F1,tp,tn,fp,fn,AUCPR,FNR,FPR,elapsed
0.9,10,gaussian,variance,50,0.7446808510638298,35,91,0,24,0.7532203389830509,0.4067796610169492,0.0,65.974435
0.9,10,gaussian,variance,80,0.7578947368421053,36,91,0,23,0.7635028248587571,0.3898305084745763,0.0,64.896184
0.9,10,gaussian,variance,100,0.7578947368421053,36,91,0,23,0.7635028248587571,0.3898305084745763,0.0,65.182622
0.9,10,gaussian,scott,50,0.4675324675324675,18,91,0,41,0.5784180790960453,0.6949152542372882,0.0,65.72119
0.9,10,gaussian,scott,80,0.0,0,91,0,59,0.3933333333333333,1.0,0.0,68.318518
0.9,10,gaussian,scott,100,0.7959183673469388,39,91,0,20,0.7943502824858757,0.3389830508474576,0.0,64.279889
0.9,10,gaussian,silverman,50,0.4675324675324675,18,91,0,41,0.5784180790960453,0.6949152542372882,0.0,70.235892
0.9,10,gaussian,silverman,80,0.0,0,91,0,59,0.3933333333333333,1.0,0.0,68.277232
0.9,10,gaussian,silverman,100,0.7959183673469388,39,91,0,20,0.7943502824858757,0.3389830508474576,0.0,65.794989
0.9,10,cosine,variance,50,0.9672131147540983,59,87,4,0,0.9763249932741458,0.0,0.04395604395604396,62.293797
0.9,10,cosine,variance,80,0.7578947368421053,36,91,0,23,0.8715331278890601,0.3898305084745763,0.0,65.263493
0.9,10,cosine,variance,100,0.7578947368421053,36,91,0,23,0.87761135199054,0.3898305084745763,0.0,64.773874
0.9,10,cosine,scott,50,0.9915966386554622,59,90,1,0,0.9940677966101694,0.0,0.01098901098901099,61.532331
0.9,10,cosine,scott,80,0.7835051546391752,38,91,0,21,0.8827041602465331,0.3559322033898305,0.0,64.163451
0.9,10,cosine,scott,100,0.7835051546391752,38,91,0,21,0.8882538431217973,0.3559322033898305,0.0,65.583382
0.9,10,cosine,silverman,50,0.7835051546391752,38,91,0,21,0.8940677966101694,0.3559322033898305,0.0,63.520948
0.9,10,cosine,silverman,80,0.8489208633093526,59,70,21,0,0.8976694915254237,0.0,0.23076923076923078,67.243163
0.9,10,cosine,silverman,100,0.8613138686131386,59,72,19,0,0.9050412863972186,0.0,0.2087912087912088,66.518363
